fid,name,type,monster,img,message_enter,message_leave
100101,Bravery勇气号,100101,0,79,,
100201,教堂,100201,0,45,"掌握黑科技的鹿教教堂
你可以在这里复活死去的伙伴，或者彻底安葬他们",
100301,传送星门,100301,0,21,你可以使用传送星门转移到其它已经开启航线的星球,
100401,太空巴别塔,100401,1000,63,"欢迎来到太空巴别塔
这里汇集了全宇宙最强的英雄们
你，想挑战他们吗？
（需要花名册）","你挑战成功了全部1000层的太空巴别塔
毫无疑问，你已经是宇宙最强了！"
110101,地下竞技殿,110201,5,49,"欢迎来到地下竞技殿
战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定",你战胜了全部的对手，欢迎你随时再来挑战
110201,贫民窟,110101,2,67,这是一个贫民窟，因为贫穷和饥饿，每天都在发生着暴力和犯罪,你整顿了这里，并将粮食分给了这里的居民
110202,贫民窟,110102,0,53,一个和平的贫民窟,一个和平的贫民窟
110301,战车工厂,100601,0,57,"一个早已停产的战车工厂
这里停放着一些旧战车，如果你有驾驶证，就可以将它们开走
（招募的伙伴会自动回到Bravery勇气号）",
110401,机器人工厂,100601,0,57,"一个早已停产的机器人工厂
不过或许你能在这里找到可靠的伙伴
（招募的伙伴会自动回到Bravery勇气号）",
110501,后街小巷,100501,0,43,一个隐蔽于旧城的后街小巷，貌似有一些稀奇古怪的商品,
110601,灵核遗迹,110101,3,77,一个古老的黑科技遗迹，如果你想要探索，请小心各种危险的机关陷阱,你解除了全部的机关陷阱，现在这里安全了
110602,灵核遗迹,110102,0,78,一个由你管辖的黑科技遗迹,一个由你管辖的黑科技遗迹
110701,钛矿,110101,3,15,一座早已停产的钛矿，或许你可以让它恢复生产,你整顿了这里，现在你可以让它恢复生产了
110702,钛矿,110102,0,16,一座属于你的钛矿,一座属于你的钛矿
110801,反应堆,110101,3,27,一座早已关闭的反应堆，或许你可以让它重新启动,你整顿了这里，现在你可以让它重新启动了
110802,反应堆,110102,0,28,一座由你管辖的反应堆,一座由你管辖的反应堆
110901,金矿,110101,3,13,一座早已停产的金矿，或许你可以让它恢复生产,你整顿了这里，现在你可以让它恢复生产了
110902,金矿,110102,0,14,一座属于你的金矿,一座属于你的金矿
111001,碳矿,110101,3,9,一座早已停产的碳矿，或许你可以让它恢复生产,你整顿了这里，现在你可以让它恢复生产了
111002,碳矿,110102,0,10,一座属于你的碳矿,一座属于你的碳矿
111101,硅矿,110101,3,7,一座早已停产的硅矿，或许你可以让它恢复生产,你整顿了这里，现在你可以让它恢复生产了
111102,硅矿,110102,0,8,一座属于你的硅矿,一座属于你的硅矿
111201,陨石坑,110101,5,59,一个巨大的陨石坑，也许它就是导致这座工业卫星被废弃，从而变成放逐地的原因之一,你在陨石坑的深处发现了一对流星状的耳环。你用手帕将它包起，希望有一天能找到它的失主
111202,陨石坑,110102,0,53,这里已经清除了威胁。也许将来会变成一个人工湖,这里已经清除了威胁。也许将来会变成一个人工湖
111301,小黑屋,110101,5,31,"一个小黑屋。里面貌似有人在鬼鬼祟祟地干着什么
（需要写着暗号的纸）",黑铁组的小喽啰让你打怕了，颤颤巍巍地递给了你一本黑铁组的账单
111302,小黑屋,110102,0,53,你打开了灯，现在这里亮堂多了,你打开了灯，现在这里亮堂多了
111401,废弃工厂,110101,5,31,"一个废弃的工厂。里面貌似有人在鬼鬼祟祟地干着什么
（需要指纹破解器）",黑铁组的小喽啰们落荒而逃，现在，你占有了这里
111402,废弃工厂,110102,0,53,一个废弃的工厂,一个废弃的工厂
111501,黑铁组总部,110101,8,3,"这里是黑铁组的总部。据说他们的老大在干着非法的买卖
（需要黑铁组账单）",你击败了放逐地的统治者。他说比起奥赛帝国所干得那些事儿，自己这点买卖，屁都算不上......
111502,黑铁组总部,110102,0,53,黑铁组已经解散了，这里一个人也没有了,黑铁组已经解散了，这里一个人也没有了
111601,废弃星港,110301,3,25,"一个废弃的星港，原本用来与别的星球进行宇宙间航行的往来
（需要废弃星港的情报）",你消灭掉了盘踞在这里的元素精。现在你可以重启星港，前往别的星球了！
111602,废弃星港,110302,0,26,"要去往 荒漠行星·塔图因 吗？","要去往 荒漠行星·塔图因 吗？"
120101,地下竞技殿,110201,5,49,"欢迎来到地下竞技殿
战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定",你战胜了全部的对手，欢迎你随时再来挑战
120201,绿洲聚落,110101,2,69,这是一个绿洲聚落，生存着沙之居民，请小心不要轻易踏入他们的领地,你表明自己并无恶意，他们也决定与你和平相处
120202,绿洲聚落,110102,0,53,一个友好的绿洲聚落,一个友好的绿洲聚落
120301,战机工厂,100601,0,57,"一个早已停产的战机工厂
不过或许你能在这里淘到宝贝
（招募的伙伴会自动回到Bravery勇气号）",
120401,爪哇人集市,100501,0,43,一个繁荣的爪哇人集市，貌似有一些稀奇古怪的商品,
120501,塔斯肯据点,110101,5,55,"一个塔斯肯人的据点。毫无疑问，这里充满了危险性
（需要指纹破解器）",你清除了这里的威胁，现在这里安全了
120502,塔斯肯据点,110102,0,53,这里已经清除了威胁,这里已经清除了威胁
120601,反应堆,110101,5,27,"一座早已关闭的反应堆，或许你可以让它重新启动
（需要指纹破解器）",你整顿了这里，现在你可以让它重新启动了
120602,反应堆,110102,0,28,一座由你管辖的反应堆,一座由你管辖的反应堆
120701,金矿,110101,5,13,"一座早已停产的金矿，或许你可以让它恢复生产
（需要指纹破解器）",你整顿了这里，现在你可以让它恢复生产了
120702,金矿,110102,0,14,一座属于你的金矿,一座属于你的金矿
120801,龙的巢穴,110101,8,55,"这里是成年克雷特龙的居处，但它平常不会待在洞里，如果想见到它，你需要先想办法把它引回来
（需要引龙香）",你消灭掉了克雷特龙，并获得了它的龙珠
120802,龙的巢穴,110102,0,53,一个空空如也的巢穴,一个空空如也的巢穴
120901,兽的巢穴,110101,8,55,这里是成年露水背兽的居处，请多加小心,你消灭掉了露水背兽，这里安全了
120902,兽的巢穴,110102,0,53,一个空空如也的巢穴,一个空空如也的巢穴
121001,塔斯肯大本营,110101,10,3,"这里是塔斯肯的大本营。他们就是塔图因星球上最大的恐怖组织
（需要克雷特龙珠）",你击败了塔斯肯首领。他看到大势已去，随即举枪吞弹自尽......
121002,塔斯肯大本营,110102,0,53,塔斯肯已经覆灭了，这里一个人也没有了,塔斯肯已经覆灭了，这里一个人也没有了
121101,塔图因星港,110301,3,25,"这里是塔图因星港，由残存的塔斯肯成员实际掌控着
（需要成员证）",你消灭掉了盘踞在这里的塔斯肯余党。现在你可以重启星港，前往别的星球了！
121102,塔图因星港,110302,0,26,"要去往 冰雪行星·霍斯 吗？","要去往 冰雪行星·霍斯 吗？"
130101,地下竞技殿,110201,5,49,"欢迎来到地下竞技殿
战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定",你战胜了全部的对手，欢迎你随时再来挑战
130201,雪屋,110101,3,65,这是一个由帝国士兵建造的雪屋,帝国士兵落荒而逃
130202,雪屋,110102,0,53,一个温暖的雪屋,一个温暖的雪屋
130301,极地科考站,100501,0,43,一个极地科考站，这里的科学家或许会出售给你一些最新的小发明,
130401,钛合金工厂,110101,5,37,"一座早已关闭的钛合金工厂，或许你可以让它恢复生产
（需要指纹破解器）",你整顿了这里，现在你可以让它恢复生产了
130402,钛合金工厂,110102,0,53,一座由你管辖的钛合金工厂,一座由你管辖的钛合金工厂
130501,冰雪帝国堡,110101,5,3,"这是帝国军队在霍斯上建立的堡垒，驻扎着大量帝国士兵以用来侵略并控制霍斯
（需要指纹破解器）",你击败了冰雪帝国堡的司令，并从他那里获得了帝国对于霍斯星球的侵略计划书
130502,冰雪帝国堡,110102,0,53,曾经的帝国堡垒，现在这里安全了,曾经的帝国堡垒，现在这里安全了
130601,金属工程所,110101,5,29,"这是一个由帝国建立的金属工程所，用以研究锻造更高级的金属
（需要指纹破解器）",你整顿了这里，现在这里归你了
130602,金属工程所,110102,0,53,一座由你管辖的金属工程所,一座由你管辖的金属工程所
130701,穿透实验室,110101,5,29,"这是一个由帝国建立的穿透实验室，用以研究制作出神奇的穿透门
（需要指纹破解器）",你整顿了这里，现在这里归你了
130702,穿透实验室,110102,0,53,一座由你管辖的穿透实验室,一座由你管辖的穿透实验室
130801,雾凇林,110101,8,59,"这里是一片被冰封的雾凇林，生存着各种耐寒的野生生物
（需要捕兽器）",你消灭掉了这里的危险生物，现在这里安全了
130802,雾凇林,110102,0,53,一片宁静的雾凇林,一片宁静的雾凇林
130901,冰晶湖,110101,8,59,这里是一片被冻住的冰晶湖，冰面上游走着各种元精,你消灭掉了这里的危险生物，现在这里安全了
130902,冰晶湖,110102,0,53,一片宁静的冰晶湖,一片宁静的冰晶湖
131001,披雪大冰壁,110101,15,55,"这里是高耸入天的披雪大冰壁，光滑的壁面没有任何的驻足点
（需要永久冻土）",你击败了湿婆，他像烟一样地飘散升天，只在地上掉落下了一个月牙状的戒指
131002,披雪大冰壁,110102,0,53,一片高耸入天的披雪大冰壁,一片高耸入天的披雪大冰壁
131101,冰封星港,110301,3,25,"一个被冰封的星港，原本用来与别的星球进行宇宙间航行的往来
（需要融雪剂）",你用融雪剂融化了这里的冰雪。现在你可以重启星港，前往别的星球了！
131102,冰封星港,110302,0,26,"要去往 火山行星·查尔 吗？","要去往 火山行星·查尔 吗？"
140101,地下竞技殿,110201,8,49,"欢迎来到地下竞技殿
战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定",你战胜了全部的对手，欢迎你随时再来挑战
140201,孵化场,110101,3,73,这是虫族们的孵化场，满地的血水和岩浆交融，令人不禁反胃,你清除了这里的威胁，现在这里安全了
140202,孵化场,110102,0,53,被你端掉的虫族孵化场,被你端掉的虫族孵化场
140301,虫类研究所,100601,0,57,"一个虫类研究所，这里的生物学家或许会出售给你一些意想不到的东西
（招募的伙伴会自动回到Bravery勇气号）",
140401,Quattro实验室,100501,0,43,一个研究机械自动化的实验室，这里的工程师或许会出售给你一些最新的小发明,
140501,温泉旅馆,100501,0,43,一家富有特色的岩浆温泉旅馆。这里真的会有人类光顾吗？,
140601,三钛合金工厂,110101,5,33,"一座早已关闭的三钛合金工厂，或许你可以让它恢复生产
（需要虹膜破解器）",你整顿了这里，现在你可以让它恢复生产了
140602,三钛合金工厂,110102,0,53,一座由你管辖的三钛合金工厂,一座由你管辖的三钛合金工厂
140701,对撞机,110101,5,35,"这是一座由帝国建立的对撞机，用以研究核变的过程，从而制造出超噬矿
（需要虹膜破解器）",你整顿了这里，现在这里归你了
140702,对撞机,110102,0,53,一座由你管辖的对撞机,一座由你管辖的对撞机
140801,隔离区,110101,5,51,"这里是将蚁族与人类隔离开来的高墙。高墙连绵不绝，并且没有一丝缝隙
（需要穿透门）",爆炸蚁自爆了！还好你躲避及时，逃过一劫
140802,隔离区,110102,0,53,这里是将虫族们与人类隔离开来的高墙,这里是将虫族们与人类隔离开来的高墙
140901,进化窟,110101,10,55,"这里是虫族们进行变态过程的场所。满地都是它们吃剩下的其他种族的尸骨
（需要小鲜肉）",你消灭掉了这里的全部虫族们，现在这里安全了
140902,进化窟,110102,0,53,满地尸骨，但空无一虫,满地尸骨，但空无一虫
141001,分裂池,110101,10,55,这里是虫族们进行变态过程的场所。满地都是它们吃剩下的其他种族的尸骨,你消灭掉了这里的全部虫族们，现在这里安全了
141002,分裂池,110102,0,53,满地尸骨，但空无一虫,满地尸骨，但空无一虫
141101,母巢,110101,20,51,"这里是虫族的母巢。沃姆族的主宰在等待着新送上门的食物
（需要火焰之魂）",你击败了沃姆族的主宰，沃姆的虫子们失去了大脑，顿时变得群虫无首，乱作一团。在短期之内，它们应该不会再对人类构成威胁了
141102,母巢,110102,0,53,曾经的沃姆族母巢，现在这里安全了,曾经的沃姆族母巢，现在这里安全了
141201,蜂场,110301,3,25,"一个曾经的星港，现在已经成为了蜂族的养殖场
（需要蜂王浆）",大雀蜂被你消灭了。现在你可以重启星港，前往别的星球了！
141202,蜂场,110302,0,26,"要去往 森林行星·艾尔 吗？","要去往 森林行星·艾尔 吗？"
150101,地下竞技殿,110201,8,49,"欢迎来到地下竞技殿
战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定",你战胜了全部的对手，欢迎你随时再来挑战
150201,战争部落,110101,3,71,这是高德族的聚落，他们对人类抱有很强的抵触及不安全感,你与部落长老进行了推心置腹的交谈，最终与他们成为了朋友
150202,战争部落,110102,0,53,一个对人类友好的高德族聚落,一个对人类友好的高德族聚落
150301,Glory部落,100601,0,57,"光荣、神圣、伟大的Glory部落，他们中的高德战士愿意助你一臂之力！
（招募的伙伴会自动回到Bravery勇气号）",
150401,野营地,100501,0,43,一些人类的探险者与考古学者扎的营地，或许他们愿意分享给你一些情报,
150501,反应堆,110101,5,27,"一座早已关闭的反应堆，或许你可以让它重新启动
（需要虹膜破解器）",你整顿了这里，现在你可以让它重新启动了
150502,反应堆,110102,0,28,一座由你管辖的反应堆,一座由你管辖的反应堆
150601,金矿,110101,5,13,"一座早已停产的金矿，或许你可以让它恢复生产
（需要虹膜破解器）",你整顿了这里，现在你可以让它恢复生产了
150602,金矿,110102,0,14,一座属于你的金矿,一座属于你的金矿
150701,森林帝国堡,110101,5,3,"这是帝国军队在艾尔上建立的堡垒，驻扎着大量帝国士兵以用来侵略并控制艾尔
（需要穿透门）",你击败了森林帝国堡的司令，并从他那里获得了帝国对于艾尔星球的侵略计划书
150702,森林帝国堡,110102,0,53,曾经的帝国堡垒，现在这里安全了,曾经的帝国堡垒，现在这里安全了
150801,Dark部落,110101,15,23,"高傲、威武、好战的Dark部落，他们对人类抱有很强的敌对意识
（需要迷路之森地图）",你击败了Dark部落的勇者，他们终于承认了你，真可谓不打不相识
150802,Dark部落,110102,0,53,对人类态度转变了的高德族聚落,对人类态度转变了的高德族聚落
150901,Shadow部落,110101,15,23,神秘的Shadow部落，他们是高德族里的暗之执行者,你击败了Shadow部落的勇者，他们终于承认了你，真可谓不打不相识
150902,Shadow部落,110102,0,53,对人类态度转变了的高德族聚落,对人类态度转变了的高德族聚落
151001,光影议会,110101,25,61,"这里是高德族的权力中心，光影议会。你能说服他们，让他们成为格瓦拉的同伴吗？
（需要绿林之心）",你击败了高德族的主宰，高傲的高德族战士们想要集体自尽，你拦住了他们，并恳请他们将力量借给你
151002,光影议会,110102,0,53,这里是高德族的权力中心，光影议会,这里是高德族的权力中心，光影议会
151101,失落圣殿,110301,3,25,"这里是高德族的神秘祭坛，失落圣殿。你若是想使用高德族的星门，必须先击破守卫祭坛的自动化装置
（需要失落圣殿的石板）",你击破了自动化母舰。现在你可以使用高德族的星门，前往别的星球了！
151102,失落圣殿,110302,0,26,"要去往 殖民卫星·瑞曲 吗？","要去往 殖民卫星·瑞曲 吗？"
160101,地下竞技殿,110201,8,49,欢迎来到地下竞技殿，战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定,你战胜了全部的对手，欢迎你随时再来挑战
160201,前线战壕,110101,3,71,这是一个由帝国建立的前线战壕，用以抵抗星盟的进攻,你击退了这里的士兵，现在这里归你了
160202,前线战壕,110102,0,53,用以抵抗星盟进攻的前线战壕,用以抵抗星盟进攻的前线战壕
160301,感化院,100601,0,57,"一个收留战争孤儿的感化院。如果你愿意，可以领养几个孩子
（招募的伙伴会自动回到Bravery勇气号）",
160401,军火市场,100501,0,43,一个由依靠战争发横财的军火商建立的地下黑市，或许你能淘到一些宝贝,
160501,灵核遗迹,110101,5,77,"一个古老的黑科技遗迹，如果你想要探索，请小心各种危险的机关陷阱
（需要虹膜破解器）",你解除了全部的机关陷阱，现在这里安全了
160502,灵核遗迹,110102,0,78,一个由你管辖的黑科技遗迹,一个由你管辖的黑科技遗迹
160601,三钛合金工厂,110101,5,37,"一座早已关闭的三钛合金工厂，或许你可以让它恢复生产
（需要虹膜破解器）",你整顿了这里，现在你可以让它恢复生产了
160602,三钛合金工厂,110102,0,38,一座由你管辖的三钛合金工厂,一座由你管辖的三钛合金工厂
160701,前线帝国堡,110101,5,3,"这是帝国军队在瑞曲上建立的堡垒，驻扎着大量帝国士兵以用来对抗星盟
（需要穿透门）",你击败了前线帝国堡的司令，并从他那里获得了帝国对于星盟的作战计划书
160702,前线帝国堡,110102,0,53,曾经的帝国堡垒，现在这里安全了,曾经的帝国堡垒，现在这里安全了
160801,星盟空中基地,110101,15,3,"这是星盟在瑞曲星上建立的空中基地，用以抵抗帝国的进攻
（需要猎鹰号飞空艇）",你击破了星盟战舰并获得了卫星对接装置
160802,星盟空中基地,110102,0,53,曾经的星盟空中基地，现在这里安全了,曾经的星盟空中基地，现在这里安全了
160901,瑞曲联络站,110101,15,3,这是一个由帝国建立的联络站，用以进行信息、情报的交换,你击退了这里的士兵，现在这里归你了
160902,瑞曲联络站,110102,0,53,用以进行信息、情报交换的联络站,用以进行信息、情报交换的联络站
161001,星盟光晕卫星,110101,30,19,"“光晕”，这是星盟建造的大型卫星武器，有着能毁灭一颗行星的破坏力！
（需要卫星对接装置）",你击败了星盟先知，并从它那里获得了“光晕”的控制器。为了保险起见，你启动了“光晕”的自毁程序
161002,星盟光晕卫星,110102,0,53,由你破坏掉的光晕卫星残骸,由你破坏掉的光晕卫星残骸
161101,星盟母港,110301,3,25,"由星盟控制的瑞曲星港，原本用来与别的星球进行宇宙间航行的往来
（需要猎鹰号飞空艇）",你击破了星盟战舰。现在你可以重启星港，前往别的星球了
161102,星盟母港,110302,0,26,"要去往 边境行星·密特罗德 吗？","要去往 边境行星·密特罗德 吗？"
170101,地下竞技殿,110201,8,49,欢迎来到地下竞技殿，战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定,你战胜了全部的对手，欢迎你随时再来挑战
170201,海盗据点,110101,3,75,这里是宇宙海盗的据点，要小心它们的袭击,你清除了这里的威胁，现在这里安全了
170202,海盗据点,110102,0,53,这里已经清除了威胁,这里已经清除了威胁
170301,边境基地,100501,0,43,一些疯狂的探险者与考古学者建立的基地，或许你能淘到一些宝贝,
170401,猎人驻扎地,100601,0,57,"一个由银河猎人建立的驻扎地。只要你支付足够的钱，他们就会受雇于你
（招募的伙伴会自动回到Bravery勇气号）",
170501,反应堆,110101,8,27,"一座早已关闭的反应堆，或许你可以让它重新启动
（需要基因破解器）",你整顿了这里，现在你可以让它重新启动了
170502,反应堆,110102,0,28,一座由你管辖的反应堆,一座由你管辖的反应堆
170601,三钛合金工厂,110101,8,37,"一座早已关闭的三钛合金工厂，或许你可以让它恢复生产
（需要基因破解器）",你整顿了这里，现在你可以让它恢复生产了
