rid,name,summary,level,life,power,speed,accuracy,skill,effect
110001,士兵,站出来反抗奥赛帝国的士兵,1,5,1,4.8,1,反击,0
110101,原力使,因为在宇宙中生存并繁衍了几百年，而致使超能力觉醒的新人类,1,6,3,3,0.3,基础剑法,0
110102,沉思者,因为超能力觉醒，而开始思考起未来的新人类,2,30,17,3.2,0.3,原力吸引,0
110103,光明圣堂,认识到了自己的使命与责任，而不惧艰难走上“正义的伙伴”之路的新人类,3,145,100,1.9,0.4,原力风暴,110102
110104,光明执政官,执行绝对的正义，“正义的伙伴”中的领导者们,4,680,345,2.8,0.5,忠义之剑,0
110105,绝地武士,他们中的大多数都师从尤达大师，善良、博爱的内心，毫无疑问，他们就是正义的战士，人类的守护者！,5,2600,1800,3,0.5,尤达剑法,0
110106,天行者,继承了“天行者”之名的绝地武士，他们手中的剑，终将会为他们带来最终的胜利！,6,4100,3500,3,0.6,心头灭却,0
110112,狂热者,因为超能力觉醒，而变得野心勃勃的新人类,2,36,12,3.4,0.3,原力爆发,0
110113,黑暗圣堂,认为自己的能力能够改变世界，而毅然走上“力量支配者”之路的新人类,3,168,100,2.1,0.4,原力闪电,110402
110114,黑暗执政官,拥有绝对的力量，“力量支配者”中的领导者们,4,800,260,3.4,0.4,影之束缚,0
110115,西斯大师,他们接受了西迪厄斯与摩尔的教导，从而拥有了支配黑暗的绝对力量,5,2700,3000,2,0.6,摩尔剑法,110404
110116,黑武士,继承了“黑武士”之名的西斯大师，他们手中的剑，只为遵从自己的内心而挥斩,6,4300,3400,2,0.6,罪歌,110405
110201,机枪兵,拿起手中的枪，为了自由而战,1,3,3,4.7,0.2,机枪连射,0
110202,狙击兵,弹无虚发！狙击镜就是他们的千里眼,2,27,13,4.3,0.3,百发百中,110201
110203,火焰兵,他们的愿望是焚烬世间一切的黑暗，而在愿望实现之后，也许，他们自己就成了黑暗......,3,144,80,3.1,0.4,火焰放射,110402
110204,电浆兵,人型发电机，拿起手中的电浆枪，成为星际间的雷神,4,605,345,3,0.5,电浆射击,110203
110205,幽灵战士,身着高科技纳米隐身服，手执核武器的发射按钮,5,2200,2500,2.6,0.5,战略核武,110104
110206,斯巴达战士,不停地战斗、战斗......当明白了战斗的真正意义时，却发现身边只剩自身一人，孤单而又悲壮的英雄！,6,3150,3200,2.6,0.6,英雄光晕,110105
110301,流浪旅人,出身自荒漠星球塔图因的人类，这颗星球带给他们的，只有饥荒、疾病与无尽的痛苦回忆,1,4,1,11,0.1,基础拳法,0
110302,杂役仆从,被隐居格鲁赛特山中的老者收留的人们，他们用自己的劳动换取活下去的机会,2,23,10,6.6,0.2,擒拿术,110401
110303,技法学徒,老者开始教授他们一些技法，也许在别人看来，这些技法肮脏且龌龊，但对于他们来说，却是宝贵的生存技能,3,128,72,2.2,0.4,锁喉爪,110202
110304,独行大盗,独来独往，他们盗取的不只是贪官污吏的钱财，还有暴虐统治阶级的性命,4,625,300,4,0.4,十步一杀,110403
110305,暗杀大师,当你意识到他们在觊觎你的生命时，你，已经死了......,5,2300,980,7,1,影刃,110303
110306,山中老人,镜中花，水中月。戴上老者留下来的面具，他舍弃了原本的姓名，成为了新一任的Hasan！,6,3850,960,7,1,水月,110304
110401,鹿教慕道者,还未正式入教，正在学习教义，并渴求真神庇护的人们,1,5,-4,2.1,1,治疗术,0
110402,鹿教信徒,已经正式入教，无比虔诚的鹿教信徒,2,22,-13,1.5,1,护盾术,110101
110403,鹿教朝圣者,带着朝圣之心，从各个星球慕名而来的鹿教信徒,3,150,-70,3.2,1,石肤术,110202
110404,人造神子,人们需要信仰，所以就依照他们的愿望，给予其人造的鹿神之子,4,750,-550,2.1,1,神加护,110103
110405,人造天使,人们需要信仰，所以就依照他们的愿望，给予其人造的守护天使,5,2800,-3000,2,1,神封印,110104
110406,人造之神,人们需要信仰，所以就依照他们的愿望，给予其人造的伟大鹿神,6,4200,-4500,2,1,三位一体,110105
110414,鹿教神父,鹿教中，负责引导教徒的低阶神职人员,4,600,-600,2,1,神圣之光,0
110415,鹿教主教,鹿教中，负责管理教务的高阶神职人员,5,2000,-4500,1.5,1,神圣之力,0
110416,鹿教教皇,鹿教中，负责将福音播撒于世间的最高祭祀,6,3450,-8000,1.4,1,天赐祝福,0
110501,知识探寻者,追求真理、渴求知识的人们,1,3,6,2.4,0.3,化学爆破,0
110502,暗物质学者,研究暗物质的学者。不知从何时起，他们的研究对象从“尚未发现的物质”转变成了“原本就不存在的物质”,2,25,10,2.1,1,未元物质,110201
110503,疯狂科学家,陷入疯狂的暗物质学者。他们发现并掌握了暗物质的根源，即“以太”,3,112,85,2.1,0.4,以太超流,110402
110504,空间穿越者,已经能熟练控制以太的学者。他们能通过控制以太的流动，自由的在任意空间中穿梭,4,620,340,3.3,0.4,以太步,110203
110505,时间旅行者,已经将以太和自身融为一体的学者。他们通过凭空创造出以太，甚至可以在四维空间中穿梭,5,2100,2100,3,0.5,暗影核爆,110204
110506,以太之王,从发现暗物质到掌握以太，再到凭空创造以太甚至制造成黑洞......恰如其名，以太之王！,6,3000,3000,3,0.6,黑洞,110205
110512,ET学者,研究外星生命的学者。不知从何时起，他们的研究目的从“第五类接触”转变成了“征服并控制所有外星生命”,2,21,14,1.8,0.4,ß-37星人,110101
110513,疯狂外交家,陷入疯狂的外星生命学者。他们借助研究出的T-病毒之力，开始奴役更多的外星生命,3,104,102,2.6,0.4,T-病毒,110402
110514,生命创造者,已经能熟练操控外星生命的学者。他们甚至能人为的制造出白垩纪，从而决定整颗星球的命运,4,580,700,2,0.5,冰封世纪,0
110515,物种缔造者,他们通过人为的“召星”，轻易的毁灭了许多低等外星生命所生存的矮行星,5,2100,2800,2,1,陨石冲击,0
110516,文明之源,既能轻易的毁灭一颗星球，又可赋予这颗星球新的生命。毫无疑问，这就是创世之神，文明之源！,6,3300,6000,1.8,0.6,创世爆炸,0
110601,R1机器人,最初级的机器人，原本它们的职责是帮助人类收拾家务,1,6,4,2.9,0.3,机械手锤,0
110602,R2机器人,初级机器人，经过改造，从它们的身体中能发射出对人体有干扰效果的电波,2,24,10,5.3,0.3,干扰电波,0
110603,D1机器人,中级机器人，经过改造，从它们的身体中能发射出高达十万伏特的电压,3,120,110,1.7,0.4,十万伏特,110102
110605,D2机器人,高级机器人，经过改造，从它们的身体中能同时发射出α、β、γ三种射线,5,2000,600,9,1,三重射线,0
110606,C3机器人,最高级的机器人，安装了黑客反编译的HyB晶片后，能对所有的智能机器人发布命令,6,3600,1000,11,0.2,机器暴动,0
110702,兀鹰战车,移动迅速的反重力悬浮战车，依靠能自动探知敌人并引爆的黑寡妇地雷来进行攻击,2,10,5,2.2,0.4,黑寡妇雷,0
110703,鲨式轻坦,OZ-130“鲨”式轻型坦克。极高的机动性及适应性使其成为奥赛帝国的主战坦克,3,140,104,2.1,0.4,穿甲榴弹,110202
110705,狮式中坦,OZ-120“狮”式中型坦克。装配有160mm反动蹴速炮的它，不愧有“陆战之王”的美誉！,5,3000,3500,2,0.6,蹴速大炮,110104
110706,鹿式重坦,OZ-110“鹿”式重型坦克。将实弹武器换成了光线武器，减轻的负重用于添置厚实的装甲。名副其实的移动堡垒！,6,4800,5300,2,0.6,等离子炮,110105
110802,铁球机甲,CZT-79“铁球”型载人机甲。由原本的太空作业用工程机器人加装一门120mm加农炮改造而来,2,32,18,3,0.3,加农炮,110101
110803,雷神机甲,CZT-105“雷神”型载人机甲。在其左右手部各装的一门250mm对空炮使其成为防空之王,3,170,90,3,0.4,对空炮,110102
110804,泰坦机甲,"CZT-RE91“泰坦”型载人机甲。Rocket Punch？是的，超级系才是男人的浪漫！",4,800,450,3,0.5,火箭飞拳,110103
110805,巨象机甲,CZT-AT93“巨象”型载人机甲。说实话，这种武器已经明显违背了《银河条约》，普通的行星，能挨几枚东风-55导弹？,5,3000,3200,2.1,0.6,东风导弹,110104
110806,法芙娜巨神,RX-Null“法芙娜”。来自于其它平行世界的机甲，斩舰刀一挥，即使强大如太空母舰，也会化作宇宙间的星尘,6,4500,6300,2.1,0.6,星尘回忆,110105
110902,欧若拉战机,"MG-25“欧若拉”战斗机。小型多用途星间战斗机，2挺 30mm 5联加特林机枪是其主要武器",2,25,11,3.4,1,速射机枪,110301
110904,赛尔斯战机,MG-27“赛尔斯”战斗机。中型多用途星间战斗机，以光束机枪取代了实弹加特林机枪作为主要武器,4,600,200,4.8,0.4,光枪速射,0
110905,狄安娜战机,MG-29“狄安娜”战斗机。大型多用途星间战斗轰炸机，搭载的量子射线机枪能对有机生物造成毁灭性的打击,5,2450,2800,2,0.6,量子射线,110404
110906,密涅瓦战机,MG-30“密涅瓦”战斗机。中型多用途星间试验机，使用从外星生物Vajra身体中提炼出的能量水晶作为动力的七代机,6,4500,3800,2,0.6,全弹齐射,110405
111003,沃姆幼虫,外星种族“沃姆”的幼虫。虽然它们还处于生长的初级阶段，但对于人类来说，已经称得上是致命的威胁了,3,110,70,3.7,0.4,利爪,0
111004,沃姆茧蛹,外星种族“沃姆”的茧蛹。被茧蛹包裹住的它们拥有极强的防御力，同时还可以通过茧蛹外的骨针进行攻击,4,650,268,3.3,0.4,骨针,110403
111005,沃姆毒龙,外星种族“沃姆”的成虫。比起“虫”，用“龙”来称呼它们更为贴切，它们口中的强酸唾液可以溶解一切有机物,5,2800,4500,2,0.6,强酸唾液,110104
111006,沃姆主宰,外星种族“沃姆”的虫王。“沃姆”中最强大的成虫会吞噬掉弱小的同类，从而进化成更强更可怕的虫王,6,4500,4800,2,0.6,巢虫侵袭,110105
111103,高德狂战士,外星种族“高德”的战士。他们将身体内的能量汇聚于手臂，从而形成了无坚不摧的剑刃,3,140,62,3.5,0.4,利刃斩击,0
111105,高德龙骑士,外星种族“高德”的骑士。他们将身体植入机械外骨骼，依托外骨骼强大的双管相位碎裂炮进行战斗,5,2400,2000,2,0.6,相位大炮,110104
111106,高德主宰,外星种族“高德”的领主。两名强大的“高德”战士将自身的灵魂合二为一形成的超级战士,6,3000,4800,2.3,0.6,灵能大炮,110105
111204,超能少女,觉醒了超能力的少女，少女以为自己觉醒的是原力，但实际上她觉醒的竟然是同“高德”、“沃姆”一样的灵能,4,645,295,3.9,0.4,混沌涡流,0
111205,超能女王,少女不断的磨炼自己的超能力，终于将其熟练掌握了。拥有强大力量后的少女，内心却一点点起着变化,5,2650,1300,5.3,1,灵能涡流,110303
111206,刀锋女王,被派上战场的少女不停的杀戮、杀戮。原本纯洁善良的内心终于全部被黑暗侵蚀，最终堕落成嗜血的刀锋女王,6,3600,2000,5.5,1,女王之刃,0
111304,银河猎人,银河中最强的赏金猎人，但很少有人知道在这一身冰冷的金属装甲下的最强之人竟是一位美丽的女性,4,600,260,4,0.4,蓄能炮,0
111305,银河雇佣兵,边境行星密特罗德发生了异变，银河管理局也束手无策，只好雇佣银河中最强的赏金猎人前去调查,5,2300,1800,3.2,0.5,超蓄能炮,110204
111306,银河战士,这才是真正的银河战士，美丽且强大！她成功的解决了密特罗德行星的危机并凯旋而归！,6,3600,3000,3.2,1,粒子炮,110205
111405,太空战列舰,“大和”级太空战列舰。秉承着“大舰巨炮主义”制造的超级战舰，一发大和炮，足以毁灭一颗月球大小的卫星！,5,3000,2000,5,1,大和炮,110304
111406,太空母舰,“福特”级太空母舰。可容纳80架星间战斗机或30架载人机甲的庞然巨物，依托黑科技制成的缩退炮更是无敌的存在！,6,3450,2700,5,1,缩退炮,110305
